0.87783736;0.40023053
1.75845432;0.06242571
2.77224422;0.03983409
3.85501766;0.03030694
4.82990599;0.02352377
5.85494947;0.01989225
6.89606714;0.01821238
7.99934053;0.01572393
8.97896290;0.01487911
9.91108131;0.01469794
10.98098183;0.01414656
12.09123516;0.01387963
12.99857426;0.01356104
14.16295338;0.01392347
14.95491791;0.01371693
15.97515297;0.01371693
16.95539093;0.01354640
18.13278961;0.01351058
19.21885109;0.01317187
20.15081787;0.01310062
21.25367928;0.01307350
22.17250061;0.01263490
23.35747337;0.01310077
24.27653122;0.01310050
25.34608269;0.01310092
26.23929214;0.01280056
27.10968590;0.01305916
28.28274727;0.01305916
29.30626678;0.01280056
30.42369843;0.01263480
31.55195618;0.01194142
32.48376465;0.01172306
33.48770523;0.01106237
34.56097794;0.01036827
35.63018417;0.00990544
36.60934830;0.00882660
37.53190613;0.00808284
38.67173004;0.00685437
39.69502640;0.00625581
40.72177124;0.00519575
41.64498901;0.00440755
42.76742935;0.00369448
43.78804779;0.00302109
44.80955124;0.00247864
45.88137817;0.00193531
